title,short_description,price
"ASUS V1JP-AS050 notebook 39.1 cm (15.4"") Intel® Core™2 Duo 1 GB DDR2-SDRAM 120 GB AMD Mobility Radeon X1700","V1JP-AS050 - Intel Core 2 Duo T5500, 1024MB DDR2 RAM, 120GB SATA HDD, DVD Super Multi, 15.4"" TFT, no OS",
"EIZO ColorEdge CS2731-Photo 68.6 cm (27"") 2560 x 1440 pixels WQHD LED Black","27"", WQHD IPS 2560 x 1440 px, 350 cd/m², AdobeRGB, sRGB, ColorNavigator, HDMI, DVI, DP, USB Type-C, 42 + Photo Set",
APC kabel par printer bi-directional parallel cable 2 m,"APC PARALLEL PRINTER CABLE BI-DIRECTIONAL DB25 MALE TO CENT 26 MALE. 2 METER, 25C",
Philips In-Ear Headphones SHE2631/00,"SHE2631 In-Ear Headphones, 15 mm speaker driver optimises wearing comfort, Ear cushions improve wearing comfort and bass response",
"Epson TM-T88V (837): Parallel, w/o PS, ECW","TM-T88V - Thermal line, USB, parallel IEEE-1284, 300mm/s, 55 – 80 μm, 4 K Buffer, 180 dpi × 180 dpi, 24 VDC ± 7%, 1.6 kg, W/O PS",
"Fujitsu KBPC M2 """"UK"""" LB keyboard PS/2 QWERTY English Ivory","KEYBOARD KBPC M2 """"UK"""" LB KEYBOARD KBPC M2 """"UK"""" LB",
Toshiba Satellite Pro A100-830,,
HP StorageWorks Ultrium 215 Internal tape drive,,
"HP 15s-eq1014nf Notebook Black 39.6 cm (15.6"") 1366 x 768 pixels AMD Athlon Silver 8 GB DDR4-SDRAM 512 GB SSD Wi-Fi 5 (802.11ac) Windows 10 Home","AMD Athlon Silver 3050U (2.3GHz), 8GB DDR4-SDRAM, 512GB SSD, 39.6 cm (15.6"") HD 1366 x 768 SVA, WLAN, HP TrueVision HD, Windows 10 Home 64-bit",
"ASUS W5FM-2P007P, DE 30.7 cm (12.1"") 1280 x 768 pixels Intel® Core™2 Duo 1 GB DDR2-SDRAM 120 GB Windows XP Professional",,
Integral 2GB SD Card memory card,2GB SD Card,1195.0
Brother LC51C Original Cyan,LC51C,1795.0
HP 364 Ink Cartridges Black Original,364 Ink Cartridges Black,
APC Emergency Power Off (EPO),Emergency Power Off (EPO),69195.0
Whirlpool ACT 6465/S hob Silver Built-in 59 cm Gas 4 zone(s),,
C2G 2m DB9 Cable serial cable Black,"2m DB9 Cable, F/F",
Cooler Master Vortex 752 Black,Vortex 752,
"Sandberg LUX-LINE, Scart M-M 1 m","LUX-LINE, Scart M-M 1 m",
"APC NetBotz Wide-Angle Lens, 4.8mm, Fixed Objective",,
Philips HP6318/01 Ladyshave,Ladyshave,
"Canon PowerShot SX1 IS 10 MP CMOS 3648 x 2736 pixels 1/2.3"" Black","PowerShot SX1 IS - 10MP, 3648 x 2736, 4x dig. zoom, 20x opt. zoom, 1/2.3"" CCD, AF, 2.8"" TFT, USB",
APC IT Power Distribution Module 3 Pole 5 Wire 32A IEC309 620cm power distribution unit (PDU),IT Power Distribution Module 3 Pole 5 Wire 32A IEC309 620cm,53895.0
APC Cordset 4.0mm 3W W/32A IEC309R 12.3m Black,,
Origin Storage 7680GB Hot Plug Enterprise SSD 2.5in SATA Mixed Work Load W/Caddy,7680GB Hot Plug Enterprise SSD 2.5in SATA Mixed Work Load W/Caddy,
Fujitsu ServicePack 3 Years,,
"DELL E248WFP 61 cm (24"") 1920 x 1200 pixels Black","24"" LCD, FHD 1920 x 1200, 1000:1, 400 cd/m2, 5 ms",
HP 3y Support Plus MS ProLiant DL140 SVC,MSL8096 Library Support,
DELL 3Y Basic Onsite to 3Y ProSpt,,
"Lenovo IdeaCentre A540 68.6 cm (27"") 2560 x 1440 pixels 9th gen Intel® Core™ i7 16 GB DDR4-SDRAM 2512 GB HDD+SSD AMD Radeon RX 560X Wi-Fi 5 (802.11ac) Gray All-in-One PC Windows 10 Home","Intel Core i7-9700T (2GHz), 16GB DDR4-SDRAM, 2000GB HDD, 512GB SSD, 68.6 cm (27"") Quad HD 2560 x 1440 IPS, Intel UHD Graphics 630, AMD Radeon RX 560X, LAN, WLAN, Bluetooth, Webcam, Windows 10 Home 64-bit",
"Epson Photo Paper, 130 x 180 mm, 190g/m², 50 Sheets","Photo Paper 13x18cm, 50 pages",
HERMA Labels Premium A4 64.6x33.8 mm white paper matt 2400 pcs.,Labels Premium A4 64.6x33.8 mm white paper matt 2400 pcs.,3795.0
JVC GZ-MG680 0.8 MP CCD Black,"GZ-MG680, 2.7"" 16:9 LCD, 1/6'' 800k pix CCD, 35x / 800x Zoom",
Philips SoundBar DVD home theatre HTS8150/12,Seduction by sound. With Ambisound.,
"Toshiba Satellite L300-29U 39.1 cm (15.4"") 1280 x 800 pixels Intel Pentium Mobile 4 GB DDR2-SDRAM 250 GB Intel® GMA 4500M Windows Vista Home Premium",,
HP Li-Pol 2280mAh Battery,iPAQ Data Messenger Extended Battery,
MSI P45C Neo-FIR LGA 775 (Socket T) ATX,P45C Neo-FIR - Intel P45 Chipset,
HP AMD Opteron 285 2.6GHz/1000-1MB Dual Core DL385 Option Kit processor,,
ACT CAT5E FTP LSZH (IB7605) 5m networking cable Blue,CAT5E FTP LSZH patchcable blue Length: 5m,
Lenovo 51J0509 graphics card GDDR3,ATI FirePro V3700 256MB PCIe Graphics Card,
OKI Cyan Toner Cartridge for C7100/C7300/C7500 Series 'Type C4' Original,Cyan Toner Cartridge for C7100/C7300/C7500 Series 'Type C4',20395.0
HP Compaq dc7900 Convertible Minitower PC (ENERGY STAR) Intel® Core™2 Duo E8400 2 GB DDR2-SDRAM 160 GB Windows Vista Business,"Intel Core 2 Duo E8400 (3.00 GHz, 6 MB L2 cache, 1333 MHz), 2 x 1GB DDR2 SDRAM, 160GB 7200 rpm, DVD-ROM, Intel GMA 4500, 16-in-1 card reader, Windows Vista Business 32-bit",
Canon A3+ FineArt Premium Matt photo paper,"A3+ FineArt Premium Matt (FA-PM1), 210 gram 20-pack",
Canon Standard Paper Set HS-36IP photo paper,Standard Paper Set HS-36IP,
"Philips 170B4BS 17"" TFT .264 82kHz TCO Silver 43.2 cm (17"") 1280 x 1024 pixels","170B4BS  17"" SXGA TFT-LCD 1280 x 1024, < 25 ms,  pitch 0.264, 400:1, D-Sub & DVI-D,TCO`99",
NGS Multireader card reader USB 2.0,"Multireader - USB 2.0, PnP, 480Mbit/s",
TP-LINK 54Mbps eXtended Range Wireless Access Point 54 Mbit/s Power over Ethernet (PoE),TL-WA501G - 54Mbps eXtended Range™ Wireless Access Point,
Vogel's PALLANZA F105,PALLANZA F105 Brushed aluminum and clear glass,
MSI 12i / 13.3i keyboard QWERTY,12i / 13.3i Keyboard,
OKI Tonercartridge C910 Original yellow,Tonercartridge C910,
Philips Internal drive SPD2413BD/10,"DVD, RAM and CD in one",
HP 3y Proactive 24 Service,HP 3y Proactive 24 Service,
Vogel's PFA 9007 Silver,PFA 9007 Joist adapter,
Zyxel ES-1024A 24-port Unmanaged Rackmount Ethernet Switch Power over Ethernet (PoE),"Dimension ES-1024A, 24p switch 10/100B-TX auto MDI-II/MDI-X, flow control, 19""",
"Seagate Cheetah 450GB HDD 3.5"" SAS","ST3450056SS, 450GB, SAS 3Gb/s, 15000RPM",
StarTech.com 15 ft Coax High Resolution 90deg; Upward Angled VGA Monitor Cable - HD15 M/M,StarTech.com 15 ft Coax High Resolution 90deg; Upward Angled VGA Monitor Cable - HD15 M/M,1395.0
"C2G 10ft, HD15 M/F SXGA VGA cable 3 m VGA (D-Sub) Gray",10ft Premium Shielded HD15 M/F SXGA Monitor Extension Cable (with 45° Angled Female Connector),
"Acer Extensa 4220-050508Ci 35.8 cm (14.1"") 1280 x 800 pixels Intel® Celeron® M 0.5 GB DDR2-SDRAM 80 GB Intel® GMA X3100 Windows Vista Home Basic","Genuine Windows Vista® Home Basic, Intel® Celeron® mobile processor 530 (1 MB L2 cache, 1.73GHz, 533 MHz FSB), 14.1"" Acer CrystalBrite WXGA TFT LCD, integrated 3D graphics featuring Intel® GMA X3100 with up to 64MB of Intel® Dynamic Video Memory Technology 4.0 (8 MB of dedicated system memory, up to 56MB of shared system memory) , 512MB (1*512MB) of DDR2 memory, 80 GB hard disk drive with enhanced DASP, DVD/CD-RW combo drive, Gigabit Ethernet, 802.11BG WLAN, 5-in-1 card reader, 6 Cell Battery",
